Road,Number_of_Fees(sheet/day),Total_Parking_Hours(hours/day),Number_of_Parking_Space,Hours_per_sheet,Time_Start,Time_End,Interval,Space_efficiency
松江路188巷(中吉公園周邊),8.243678161,15.96551724,2.983908046,1.936698271,7:00,20:00,13,41.20%
松江路25巷,55.77692308,114.12,38.51230769,2.046007447,7:00,17:00,10,29.60%
松江路357巷,42.54022989,45.55402299,15.9954023,1.070845717,7:00,20:00,13,21.90%
松江路469巷,7.717241379,13.3908046,3.112643678,1.73518022,7:00,20:00,13,33.10%
松江路84巷,51.86896552,92.09425287,30.12873563,1.77551744,7:00,20:00,13,23.50%
松江路85巷,38.32988506,71.15287356,17.34137931,1.856328905,7:00,20:00,13,31.60%
松江路90巷,63.61609195,99.65977011,34.98390805,1.566581144,7:00,20:00,13,21.90%
松江路A,41.48991354,62.01248799,28.2660903,1.494640087,7:00,20:00,13,16.90%
松江路B,3.211034483,3.557241379,1.984827586,1.107817869,9:00,20:00,11,16.30%
松江路C,10.07078652,8.494382022,8.466292135,0.843467589,7:00,20:00,13,7.70%
松江路D,7.487385321,6.936926606,2.694954128,0.92648185,7:00,20:00,13,19.80%
松江路E,1.511538462,0.869230769,1.115384615,0.575063613,7:00,20:00,13,6.00%
松隆路A,93.11532385,179.2432859,95.9328594,1.92496013,7:00,20:00,13,14.40%
松隆路B,44.12911184,85.84539474,31.41282895,1.945323419,7:00,20:00,13,21.00%
松隆路C,3.224489796,7.857142857,3.265306122,2.436708861,9:00,17:00,8,30.10%
松平路50巷,13.58735632,32.99425287,13.23793103,2.428305558,9:00,17:00,8,31.20%
松勤街140巷,5.490740741,12.87962963,6.675925926,2.345699831,9:00,17:00,8,24.10%
松仁路,75.74211503,120.1948052,62.81168831,1.586895285,7:00,20:00,13,14.70%
松山路,79.85678808,137.8932119,55.10678808,1.7267563,7:00,20:00,13,19.20%
松山路B,7.358870968,11.66532258,2.375,1.585205479,7:00,20:00,13,37.80%
松壽廣場北側巷,124.9700461,124.9700461,113.6059908,1,12:00,20:00,8,13.80%
松壽廣場南側停放區,81.25925926,81.25925926,88.75,1,12:00,20:00,8,11.40%
松信路,145.88583,271.6445344,104.7246964,1.862035089,7:00,20:00,13,20.00%
松勇路,44.06436782,108.9103448,43.94942529,2.471619366,7:00,20:00,13,19.10%
松勇路53巷,25.1091954,62.27126437,17.42988506,2.480018311,7:00,20:00,13,27.50%
松智路32巷,13.00229885,27.62988506,16.81609195,2.125,9:00,17:00,8,20.50%
松智路32巷8弄,20.20229885,42.43218391,28.3862069,2.100364133,9:00,17:00,8,18.70%
塔城街,48.18097448,71.51044084,29.82482599,1.48420495,7:00,20:00,13,18.40%
塔悠路,96.27208202,221.9045741,210.1845426,2.304973254,7:00,20:00,13,8.10%
太原路,70.44105854,99.72333601,55.76102646,1.415698998,8:00,17:00,9,19.90%
太原路A,33.803125,61.51953125,36.02109375,1.819936212,9:00,17:00,8,21.30%
泰安街,12.52941176,45.41176471,7.764705882,3.624413146,7:00,20:00,13,45.00%
潭美街A,97.93,236.19,609.5,2.411824773,9:00,17:00,8,4.80%
潭美街B,10.5952381,31.95238095,27.42857143,3.015730337,9:00,17:00,8,14.60%
桃源街（累進計時）,64.6570771,107.4672037,48.03452244,1.662110453,9:00,17:00,8,28.00%
天津街A,48.32527207,88.94316808,35.54292624,1.840510447,7:00,20:00,13,19.20%
天津街B,52.77625,123.585,45.0575,2.341678312,9:00,17:00,8,34.30%
天津街C,40.00229885,81.22643678,24.90344828,2.030544222,7:00,20:00,13,25.10%
天母北路,57.37878788,85.71969697,47.76515152,1.493926591,9:00,20:00,11,16.30%
天母東路,92.32222222,139.9455556,99.39888889,1.515838248,9:00,17:00,8,17.60%
天母西路,29.32876712,38.45205479,18.89041096,1.311069594,0:00,9:00,9,22.60%
天母西路130巷,21.69541779,39.00539084,21.79245283,1.797863089,8:00,17:00,9,19.90%
天母西路38巷,36.72329472,46.77992278,24.80566281,1.273848742,9:00,16:00,7,26.90%
天水路,32.87620579,59.63344051,30.68086817,1.813878429,8:00,17:00,9,21.60%
天祥路,34.32315113,63.68649518,30.52733119,1.855496745,9:00,19:00,10,20.90%
天玉街,78.23943662,140.2957746,132.0422535,1.793159316,0:00,9:00,9,11.80%
天玉街38巷,51.23728814,79.61538462,37.04041721,1.553856332,9:00,17:00,8,26.90%
汀州路二段Y00,28.44097693,32.91994573,27.52238806,1.157482945,9:00,17:00,8,15.00%
汀州路二段Z00,8.619755245,13.11888112,7.176573427,1.521955177,9:00,17:00,8,22.90%
汀州路三段,10.93206951,15.03949447,5.075039494,1.375722543,7:00,20:00,13,22.80%
汀州路三段104巷,20.69655172,43.66896552,12.31724138,2.109963346,7:00,20:00,13,27.30%
汀州路四段,84.63218391,166.8413793,150.7885057,1.971370365,9:00,17:00,8,13.80%
