Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
承德路一段,7.679012346,0.080223881,1.00%,市民大道,南京西路
崇德街,16.66,2.079002079,30.00%,基隆路,富陽街
崇仁路1段,2.25,1,12.50%,中央南路1段,磺港路
大安路二段,145.8526786,1.691236204,19.10%,信義路,復興南路151巷
大安路一段,54.6877602,1.670512365,22.60%,市民大道,仁愛路
大道路,66.1008807,1.847861788,17.00%,忠孝東路五段,福德街
大東路,23.45090909,1.864865735,28.10%,文林路,小北街
大湖山莊街,354.6666667,1.786302781,6.80%,大湖山莊街243巷,成功路5段
大佳公園八號水門堤外平面大車停車場,90.87971698,0.308810801,1.20%,,
大佳公園八號水門堤外平面小車停車場,372.9487179,0.303134271,1.30%,,
大佳河濱公園,741.4498044,0.41843698,0.30%,基隆河大佳段,
大龍街,37.38505747,1.390933484,18.90%,民族西路,大龍街215巷
大南路(含285巷),5.544827586,1.574652322,31.10%,承德路四段,通河東街ㄧ段
大業路,418.5,1,1.60%,中和街,大度路1段
大業路,418.5,1,1.60%,承德路七段,中和街
大業路,418.5,1,1.60%,泉源路,承德路7段
大直街,6.531034483,1.664314324,38.40%,北安路670巷,北安路458巷41弄
丹陽街,28.02758621,1.42832806,18.50%,紹興南街,杭州南路1段
稻香路,153.8333333,1,3.80%,石仙路,中央北路2段
德惠街,45.3688946,1.817642252,18.40%,中山北路,新生北路
德惠街B,16.66419142,1.70583112,24.20%,新生北路,松江路
德行東路,277.2298475,1.338004269,12.30%,東山路,中山北路六段
德行東路109巷,14.38709677,1.140529532,15.70%,士東路,德行東路
德行西路,68.45052632,1.769951293,20.00%,中山北路六段,文林路
堤頂大道二段407巷及20弄,183.1096197,1.241728987,4.70%,堤頂大道,基湖路10巷
堤頂大道二段A東側,148.7465438,1.556534546,11.80%,瑞光路478巷,內湖路一段
堤頂大道西側,219.0099338,1.376537851,6.10%,內湖路一段,樂群一路
堤頂大道一段,75.96503497,2.013219084,17.90%,民權東路6段,行善路
迪化街一段A,48.93013699,1.108901206,10.70%,民權西路,歸綏街
迪化街一段B,27.17,1.131784613,18.20%,南京西路,民生西路
東明街,75.19354839,2.331870061,14.20%,興南街,興華路
東山路,400.5714286,2.394046095,5.60%,德行東路,天母東路
東新街,188.9294118,1.642719692,6.00%,東新街80巷,昆陽街
東新街,188.9294118,1.642719692,6.00%,東新街108巷,東新街170巷與昆陽街
東興路,15.66804979,1.769340135,14.40%,南京東路五段,八德路四段  
東園街35巷,90.54482759,2.381680452,19.00%,東園街,東園街73巷
東園街67巷,12.27586207,2.214759756,19.50%,東園街35巷,東園街73巷
東園街73巷,14.12413793,2.062947368,19.90%,西藏路199巷,東園街35巷
敦化北路199巷,52.49770115,1.845639164,25.10%,光復北路230巷,敦化北路
敦化南路二段81巷,31.97471264,2.165745365,33.70%,敦化南路二段,安和路
敦煌路平面停車場,12.18011257,2.06650963,28.70%,,
敦煌路A,60.84948779,1.637913198,10.80%,大龍街,玉門街
敦煌路B（慶昌橋下）,131.721968,2.068805222,14.10%,大龍街,延平北路四段
峨嵋街A,17.23035952,1.759620149,20.60%,環河南路,康定路
峨嵋街B,140.9183673,1.140352542,14.00%,康定路,昆明街
兒童新樂園南側,8.975609756,1.583561644,11.20%,士商路,基河路
芳蘭路A,324.6829268,1,3.90%,辛亥路,軍營口
廢鐵道平面,355.6802842,2.11999874,17.90%,忠孝東路,延吉街
福港街,17.32603687,1.89775123,26.90%,福港街199巷,前港街
福港街199巷,22.06896552,1.745413339,21.10%,華齡街,福港街
福和橋東側橋邊,46.52873563,2.608844765,17.90%,,
福林公園平面大車,12.54174397,0.681265775,27.00%,中正路,福林公園北側
福志路,254.020765,2.324326807,8.40%,雨農路,中山北路五段
福中公園周邊,28.9816092,2.029770343,28.40%,福港街149巷,
福州街,33.43376414,1.647997835,29.40%,羅斯福路,牯嶺街
福州街廣場,97.92873563,2.295740433,20.20%,和平西路,泉州街
福州街A,3.870967742,1.637028015,70.00%,牯嶺街,重慶南路三段
撫順街,2.69250646,1.13597899,23.40%,承德路,中山北路
撫順街41巷,158.1,2.457211538,16.20%,撫順街,民族西路
撫遠街,75.83598326,1.645684913,7.70%,民生東路五段,塔悠路
富錦街107巷,113.9954023,3.460694527,27.90%,民權東路4段,富錦街
富錦街359巷,5.072792363,2.095525998,35.70%,富錦街359巷2弄,富錦街
富錦街359巷2弄,159,5.68,27.90%,新中街,富錦街359巷
富錦街359巷3弄,24,6.234042553,76.30%,富錦街359巷,民生東路5段27巷
富錦街429巷,16.5,5.606060606,70.10%,三民路167巷,富錦街
富錦街429巷,16.5,5.606060606,70.10%,三民路167巷,富錦街
富錦街A,439.9170654,2.342325209,14.60%,新中街,敦化北路
富錦街B,133.2384824,1.630115174,20.50%,撫遠街,新中街
富康街1巷,151.8206897,2.481326289,12.90%,研究院路1段,富康街
富康街1巷16弄,59.33608247,2.416363555,23.40%,富康街1巷,研究院路1段101巷
富民街155巷,18.9512761,1.174018239,9.70%,富民路,萬大路423巷36弄
富陽街,65.12,1.927866831,12.00%,崇德街,臥龍街272巷
復興北路430巷,31.00689655,1.78379513,19.70%,民權東路3段39巷,復興北路
復興北路488巷,32.21609195,2.063538893,25.60%,復興北路,民權東路3段39巷
復興北路A,15.33713355,1.730160906,25.80%,民權東路,民生東路
復興北路B,46.07954545,1.507579897,16.70%,南京東路,民生東路
復興北路C,9.720233747,1.562130371,27.60%,八德路,南京東路
復興南路二段,23.10970996,1.262927998,15.00%,信義路,辛亥路
復興南路二段148巷,23.64378801,1.714983356,24.30%,復興南路二段,瑞安街
復興南路二段151巷,39.63509317,1.844768777,24.00%,復興南路二段,大安路
復興南路一段126巷,12.79723502,1.825485726,27.60%,安東街,復興南路一段
復興南路一段135巷,32.35862069,1.537113783,20.50%,大安路一段,復興南路一段
