Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
庫倫街,11.53398058,1.555657268,22.40%,承德路,玉門街
昆明街A,159.5797273,1.109489821,13.00%,忠孝西路,成都路
昆明街C,69.3692679,1.803565814,22.50%,內江街,和平西路
昆陽街,14.9047619,2.010606061,26.50%,昆陽街172巷,南港路3段
昆陽街157巷,21.75,2.190672154,25.50%,昆陽街,忠孝東路6段
蘭雅公園(至德行東路),34.25977011,1.750598483,25.50%,蘭雅公園週邊,德行東路
蘭雅公園(至忠誠路二段),46.33640553,1.75720499,22.90%,蘭雅公園週邊,忠誠路二段
蘭州街A,8.666666667,1.716216216,20.40%,民權西路,重慶北路2段
蘭州街B,14.66666667,1.618556701,14.90%,昌吉街,民權西路
樂利路,33.20813008,2.255094056,27.10%,安和路,基隆路
樂群二路,403.5703422,1.302412687,7.00%,明水路,堤頂大道西側
樂群二路265巷,97.99230769,2.053521662,8.00%,樂群二路,植福路286巷
樂群二路266巷,92.28275862,1.370451331,6.60%,樂群二路,樂群一路
樂群二路30巷,72.78341014,1.932680723,10.20%,樂群二路,樂群二路30巷82弄
樂群路2段116巷,20.00691244,1.632028112,4.70%,樂群二路,樂群二路30巷38弄
樂群平面停車場,241.7091932,1.443315637,22.00%,敬業四路,樂群三路
樂群平面停車場,241.7091932,1.443315637,22.00%,樂群三路敬業四路口,
樂群三路,258.3239437,1.41709601,8.80%,堤頂大道西側,明水路
樂業街,20.40819022,2.598788796,33.30%,基隆路,臥龍街
樂業街,20.40819022,2.598788796,33.30%,和平東路三段,基隆路二段
黎富公園周邊,3.749097473,2.399007255,37.80%,富陽街,和平東路3段341巷
立德路,104.5494253,2.461485993,28.30%,大度路三段,立德路底
立農街2段,30,1,5.60%,石牌路2段,東華街2段
麗山街,99.1475,1.910328695,20.10%,港墘路,內湖路二段103巷
麗山街37巷,55.40620783,2.116644687,18.60%,內湖路二段103巷,麗山街
涼州街A,28.97931034,1.527967028,18.00%,寧夏路,錦西街53巷
涼州街B,101.4218415,1.371882223,18.00%,重慶北路,迪化街
遼寧街116巷,2.875,3.08977222,42.80%,龍江路,遼寧街
遼寧街128巷,55.17241379,1.760253128,11.70%,遼寧街,龍江路
遼寧街A,51.24482759,1.995753715,16.20%,南京東路,民生東路
林口街,16.78135788,2.464966157,33.70%,忠孝東路五段,春光地下場
林森北路310巷,3.115207373,2.261660602,38.90%,中山北路2段59巷3弄,林森北路
林森北路A,29.67019544,1.863135425,23.80%,民權東路,民族東路
林森北路B,10.75555556,1.682391613,30.10%,民生東路,長安東路
林森北路C,31.29133858,2.118666248,19.60%,長安東路,北平東路
林森南路,114.2719168,1.854529996,18.30%,青島東路,仁愛路
林森南路61巷,50.99770115,1.116043568,13.10%,林森南路,紹興南街
林森南路8巷,4.009803922,1.849288169,47.20%,林森南路,鎮江街
臨沂街,21.08643617,1.732367298,21.90%,忠孝東路,濟南路
柳州街,24.03794466,1.851737053,23.60%,貴陽街二段,南寧路
龍江路120巷,2.452655889,2.535883281,46.60%,龍江路,長春路258巷
龍江路124巷,14.18937644,1.647752248,20.70%,龍江路,長春路258巷
龍江路132巷,16.57011494,1.503836078,17.20%,龍江路,建國北路2段
龍江路298巷,24.68965517,1.940770177,23.90%,龍江路,合江街
龍江路345巷,23.78422877,2.079339235,27.90%,龍江路,民權東路3段39巷
龍江路55巷,26.59310345,2.252261678,24.30%,長安東路2段153巷,遼寧街
龍江路A,37.08930818,1.663522649,17.40%,民權東路,民族東路
龍江路B,4.127208481,1.572371599,21.40%,南京東路,興安街
龍江路C,25.14085667,1.84725537,23.00%,八德路二段,南京東路
龍江路D,104.7403846,1.872324323,18.50%,民生東路,民權東路
羅斯福路四段90巷,15.2764977,1.009141846,12.90%,汀洲路三段,羅斯福路四段
洛陽街,71.13297084,1.152889489,11.80%,中華路,西寧南路
美德街平面,23.35837438,1.842694592,26.80%,前街,美德街交叉口
美堤河濱公園,482.8058076,0.352171217,1.00%,大直橋下,樂群一路
美堤河濱公園,482.8058076,0.352171217,1.00%,大直橋下,樂群一路
艋舺大道,125.2347611,1.808395649,13.10%,和平西路三段,西藏路
民樂街A,18.86206897,0.739464167,15.30%,歸綏街,民生西路
民樂街B,42.14252874,1.496395019,25.70%,民生西路,南京西路
民權東路2段113巷,7.264367816,0.991736499,20.70%,松江路357巷,民權東路2段
民權東路6段21巷,141.3908046,2.074865933,12.00%,瑞光路76巷,民權東路6段
民權東路6段56巷,19.48165138,2.628304734,34.60%,民權東路6段,行忠路
民權東路二段A,15.68331143,1.25509146,19.50%,吉林路,松江路
民權東路二段B,6.583908046,1.063881778,24.60%,松江路,建國北路
民權東路二段C,6.72540633,1.351830499,29.80%,松江路,建國北路
民權東路六段,57.68402154,1.321988796,14.70%,中山高速公路,康寧路3段
民權東路六段,57.68402154,1.321988796,14.70%,舊宗路,中山高速公路
民權東路六段,57.68402154,1.321988796,16.80%,中山高速公路,康寧路3段
民權東路六段,57.68402154,1.321988796,16.80%,舊宗路,中山高速公路
民權東路六段15巷,166.2367816,1.399586872,13.70%,民權東路六段,瑞湖街
民權東路六段19巷,540.2324324,1.802731411,5.30%,民權東路六段,民權東路六段15巷
民權東路三段,56.22828428,1.446128182,13.20%,建國北路,復興北路
民權東路三段39巷,124.2252874,1.97014218,17.30%,民權東路三段,復興北路488巷
民權東路三段A,20.5954023,1.410002918,21.60%,建國北路,復興北路
民權東路四段A,77.49590643,2.416530752,8.70%,新中街,敦化北路
民權東路四段B,105.0314465,1.642051486,5.70%,三民路,新中街
民權東路五段,46.76706231,0.893926838,5.50%,撫遠街,三民路
民權西路,2.949494949,0.78,16.70%,中山北路3段,環河北路2段
民權西路102巷,53.5258216,1.604268403,14.60%,民權西路,錦西街
民權西路144巷19弄,6.142175573,1.829680777,35.50%,民權西路144巷,承德路2段
民善街,150.2275862,2.113031968,20.20%,民權東路6段,行善路
民生東路5段137巷,40.5,4.155339806,66.00%,富錦街,民生東路5段
民生東路5段137巷6弄,51,5.227848101,50.60%,三民路,民生東路5段137巷
民生東路5段69巷1弄,12,5.772727273,66.10%,民生東路5段69巷,民生東路5段27巷
民生東路5段69巷21弄,24,6.148148148,43.20%,民生東路5段69巷,民生東路5段27巷
民生東路5段69巷2弄,63,6.164948454,59.30%,新中街,民生東路5段69巷
民生東路5段69巷3弄,9,6.380952381,93.10%,民生東路5段69巷,民生東路5段27巷
民生東路5段69巷4弄,32,5.9375,92.80%,新中街,民生東路5段69巷
民生東路二段,45.28550725,1.388907361,15.90%,松江路,建國北路
民生東路二段A,19.01485608,1.458959147,23.70%,吉林路,松江路
民生東路二段B,18.74352548,1.664148022,21.40%,新生北路,吉林路
民生東路三段,154.5846373,1.350398721,12.00%,建國北路,敦化北路
民生東路四段131巷,32.98275862,2.693320488,36.50%,民權東路四段,民生東路四段
民生東路四段80巷,3.016509434,1.899349497,48.30%,民生東路四段,敦化北路199巷
民生東路四段97巷,3.292824074,2.584447373,37.10%,富錦街,民生東路四段
民生東路五段,111.1928105,1.242932879,11.10%,撫遠街,民生東路五段137巷
民生東路五段27巷,82.6137931,2.113595821,23.10%,富錦街,民生東路五段
民生東路五段27巷9弄,54.37096774,2.535736397,19.50%,民生東路五段27巷,光復北路
民生東路五段36巷,30.32743363,1.953678595,16.40%,民生東路五段,延壽街
民生東路五段69巷,24.07126437,2.017049106,19.60%,富錦街,民生東路五段
民生東路一段,27.96732026,1.730115148,22.70%,中山北路,新生北路
民生西路,72.27170418,1.219193046,14.40%,延平北路,承德路
民生西路423巷,8.979310345,0.617596517,17.30%,環河北路一段,民生西路
民生西路A,17.08741259,1.022951865,10.50%,承德路,中山北路
民族東路,58.30612245,2.356626506,12.80%,復興北路,民權東路3段
民族東路410巷2弄,2.76626506,1.012507445,27.80%,建國北路三段113巷,民族東路410巷
民族東路512巷,1.032432432,2.30952381,47.60%,民族東路,復興北路514巷
民族東路A,128,2.0283273,10.80%,龍江路 ,復興北路
民族東路B,31.33103448,2.603795725,23.40%,吉林路,新生北路三段
民族東路C,56.6967632,1.328697105,10.20%,建國北路,龍江路
民族西路,122.679275,1.248000059,13.70%,承德路,環河北路
明德路,148.8275862,1.65452619,14.50%,振興街,振華街
明德路337巷,112.7244898,1.514862334,15.40%,石牌路,明德路
明水路,474.9787234,1.47114162,9.60%,北安路,大直橋下
明水路494巷,9.569411765,1.705741627,17.50%,明水路,樂群二路30巷
明水路581巷,55.52488688,1.348881653,11.90%,北安路554巷八弄,明水路
明水路606巷,10.03016241,1.334446565,37.00%,明水路,敬業一路
明水路672巷,17.42544732,1.425435047,23.00%,明水路,敬業一路
木柵路二段,39.35388128,1.436584535,13.80%,木柵路2段2巷,秀明路1段
木柵路五段,13.07784431,0.26343679,1.60%,大車,
木柵路一段,93.22330097,1.493972911,23.50%,景美溪橋,木柵路2段2巷
木柵新光河川平面場,1263.665403,1.788307679,6.40%,,
木新路1段,78.36781609,1.454794158,15.10%,萬壽橋,指南路1段
木新路2段,168.0642616,1.393845471,12.10%,指南路1段,寶儀路
南昌路2段(A),2.593582888,1,22.90%,和平西路1段,羅斯福路3段
南昌路2段(B),14.97422127,1.846723685,24.60%,同安街,羅斯福路3段
南昌路二段,6.25466893,1.324974925,29.10%,福州街,和平西路一段
南昌路一段,63.43555901,1.589343133,24.30%,愛國西路,福州街
南港路3段,73.88,2.063950942,15.90%,昆陽街,中坡北路
南港路一段,80.52058111,1.505983639,18.00%,研究院路一段,興中路
南港路一段277巷,31.08986175,2.180336333,16.90%,南港路一段,南港路一段287巷4弄
南港路一段287巷2弄,14.03472222,2.395347227,21.90%,南港路一段277巷,南港路一段309巷
南海路A,13.19320215,1.677062238,31.60%,羅斯福路,和平西路二段
南海路B,15.23414634,1.787614714,23.20%,和平西路二段,中華路二段
南京東路3段89巷5弄,4.420689655,1.957559073,34.10%,龍江街,長春路258巷
南京東路3段及長春路,15.08735632,1.586607539,21.00%,建國北路2段,長春路
南京東路4段120巷,5.555555556,3.924418605,51.90%,南京東路4段,寧安街9巷
南京東路6段東側,467.7619048,2.573089998,9.20%,潭美街,成功路2段
南京東路6段西側,144.8777778,2.364857881,4.40%,潭美街,成功路2段
南京東路三段338巷,24.1872705,2.032791847,31.40%,南京東路,敦化北路4巷
南京東路五段66巷,2.845878136,2.152002338,47.50%,南京東路五段,八德路四段  
南京東路五段66巷22弄,21.69310345,2.133329233,28.30%,光復北路11巷,八德路四段  
南京西路302巷,27.33563218,2.147970884,22.60%,南京西路302巷,天水路
南京西路344巷,10.55684455,2.134536505,28.60%,天水路,延平北路1段
南京西路A,5.384422111,1.184793204,22.10%,重慶北路,延平北路
南京西路B,75.68796069,1.185432701,17.10%,延平北路,環河北路
南寧路,11.80138768,1.805480712,28.80%,廣州街,和平西路
南陽街（含機車）,164.6691176,1,16.60%,忠孝西路,襄陽路
南陽街無名巷（機車計次）,46.68045977,1,13.10%,南陽街54號-50號,
內湖路2段,174.1058824,2.268407311,14.70%,內湖路2段103巷,金龍路
內湖路2段179巷,27.04761905,2.364425163,12.00%,環山路3段,內湖路2段179巷48弄
內湖路3段,2.514285714,2.313043478,37.80%,內湖路3段326巷,金龍路
內湖路二段,22.07261146,2.102800954,22.60%,內湖路二段54號,文德路
內湖路二段103巷,53.45945946,2.020416987,26.60%,內湖路二段,內湖路二段103巷38號
內湖路一段120巷及15弄,66.4954023,1.177609562,9.60%,內湖路一段,堤頂大道二段
內湖路一段288巷,65.32068966,1.036435512,4.80%,內湖路一段,洲子街
內湖路一段32巷,36.38518519,1.64611103,14.30%,植福路,內湖路一段
內湖路一段518巷,82.10114943,1.138906113,9.20%,內湖路一段,瑞光街
內湖路一段737巷51弄,7.713498623,1.671986904,36.50%,麗山街,內湖路一段737巷41弄
內江街,59.01772764,1.940563398,21.10%,西寧南路,環河南路
寧安街,10.36111111,3.375,35.60%,南京東路4段,八德路3段
寧波東街,11.34621993,1.865275142,32.60%,愛國東路,羅斯福路
寧波西街,14.52413793,1.83138899,19.90%,和平西路2段,紹安街
寧波西街A,7.843678161,1.601345154,19.20%,紹安街,水源路
寧波西街Y00,111.9363242,1.976859216,14.70%,重慶南路三段,和平西路二段
寧波西街Z00,57.5677686,1.605838021,24.10%,羅斯福路,重慶南路三段
寧夏路A,16.34565916,1.374109744,20.90%,保安街,涼州街
寧夏路B,25.83788122,1.473898908,18.70%,錦西街,南京西路
農安街,151.552589,1.688007914,18.30%,中山北路三段,建國北路
平陽街,50.01034483,2.051133905,23.20%,承德路,寧夏路
前港街,91.38390805,1.782320046,19.50%,承德路四段,福港街
青島東路,172.4630091,1.80223499,21.70%,中山南路,杭州南路
青島西路（含機車）,172.5228216,1,11.80%,中山南路,公園路
青年路,186.4931034,1.843152676,16.10%,國興路,水源路
青年路68巷,30.37011494,2.192373824,20.50%,萬青街,青年路
慶城街,43.55180534,2.27002215,23.60%,南京東路,民生東路
泉州街A(含6巷),176.0298851,1.945556293,20.10%,南海路,和平西路二段
泉州街B,30.53454894,1.599573467,17.10%,汀州路,中華路二段
仁愛路二段,86.80084746,1.375943415,10.20%,杭州南路,新生南路
仁愛路三段A,48.7373494,1.383443032,11.00%,新生南路,建國南路
仁愛路三段B,43.70710572,1.628000181,17.90%,建國南路,復興南路
仁愛路四段222巷,61.51724138,1.875418547,24.10%,仁愛路4段,仁愛路4段222巷
仁愛路四段452巷,43.50906736,1.750814815,19.80%,仁愛路4段,光復南路421巷
仁愛路四段A,7.754575707,1.606910366,26.50%,光復南路,延吉街
仁愛路四段B,4.794486216,1.524171123,28.70%,延吉街,仁愛路四段266巷
仁愛路四段C,1.086419753,1,18.60%,復興南路一段,敦化南路一段
仁愛路一段,96.6044712,1.389954266,8.40%,中山南路,杭州南路
瑞安街,47.91264368,1.831161848,23.60%,復興南路,復興南路148巷
瑞安街208巷11弄及24弄,66.62355658,1.82011236,18.70%,信義路三段134巷,瑞安街
瑞安街81巷,8.911290323,1.966004652,31.60%,瑞安街,和平東路2段175巷
瑞光路112巷,9.11136891,1.691823019,38.50%,瑞光路66巷,瑞光路
瑞光路122巷41弄及42弄,5.680412371,1.990622656,24.10%,瑞光路132巷,瑞光路112巷
瑞光路132巷,171.2781609,2.99284141,18.20%,瑞光路,瑞光路112巷
瑞光路188巷,57.01382488,0.987154847,7.80%,瑞光路,瑞湖街
瑞光路258巷,81.55172414,1.269148175,9.10%,瑞光路,港墘路221巷
瑞光路26巷20弄及36弄,30.14942529,1.961442692,24.80%,瑞光路66巷,瑞光路26巷
瑞光路316巷,56.73556582,1.469698334,12.50%,瑞光路,堤頂大道
瑞光路358巷30、36、38弄,103.4847826,1.221772167,10.90%,瑞光路358巷,
瑞光路478巷18弄,73.38390805,0.931676902,9.70%,瑞光路478巷,瑞光路548巷
瑞光路513巷22弄,294.1747126,0.858596394,10.90%,瑞光路513巷,瑞光路583巷
瑞光路66巷,33.73103448,1.917180053,28.10%,瑞光路76巷,瑞光路
瑞光路76巷,44.69655172,1.658912123,23.80%,民權東路六段21巷,瑞光路
瑞光路76巷A,15.5218509,1.371214863,23.50%,民權東路六段21巷,瑞光路
瑞光市場平面停車場,122.4931034,2.163161989,22.50%,瑞光路,陽光街交會口
瑞湖街,78.88965517,0.984305046,7.10%,瑞光路,陽光街
瑞湖街178巷,58.69620253,1.073353842,14.40%,瑞湖街,舊宗路2段171巷
三福街4巷,29.44827586,1.884485031,19.50%,景興路42巷,景興路46巷
三合街1段,60.67647059,1,4.80%,公館路,磺港路
三合街2段,60.75,1,5.00%,磺港路,大業路
三腳渡平面廣場,175.6793541,0.387581407,1.80%,,
三民路,28.42758621,1.610587333,22.20%,三民路155巷,民生東路五段
三民路101巷,123,5.970873786,31.20%,三民路,民生東路5段138巷
三民路101巷,123,5.970873786,31.20%,三民路,民生東路五段138巷
三民路155巷,74,6.010989011,46.20%,三民路,富錦街429巷
三民路155巷,74,6.010989011,46.20%,三民路,富錦街429巷
三民路167巷,110,6.099009901,35.00%,三民路,富錦街429巷
三民路167巷,110,6.099009901,35.00%,三民路,富錦街429巷
三民路35巷,15.67356322,1.989512647,23.70%,三民路,健康路225巷
三民路62巷,81.62211982,2.637621876,16.60%,延壽街72巷,三民路
三民路68巷,24.02090592,2.404854001,19.20%,延壽街72巷,三民路
三民路74巷,7.296296296,2.15461624,14.20%,延壽街72巷,三民路
三元街,127.4084291,1.566432451,13.30%,泉州街,汀州路
三重路,22.42185515,1.725008628,13.10%,南湖大橋,南港路一段
廈門街113巷,38.86308973,2.259032355,28.10%,廈門街,同安街
紹興北街,1.227210884,1.671649485,27.70%,北平東路,忠孝東路
紹興南街,145.9779209,1.51015738,9.90%,忠孝東路,仁愛路
紹興南街A,27.94289044,1.537576972,19.90%,信義路1段,仁愛路
社中街,39,1.355769231,10.00%,延平北路6段,延平北路6段
社子公園周邊,50.46,2.287802419,11.20%,社子公園周邊,社子公園周邊
社子街,10,1.746666667,18.20%,延平北路6段,延平北路6段
師大路,13.31707317,1.86653185,21.10%,汀州路,羅斯福路
師大路A,20.07929515,0.817823908,2.10%,汀州路,水源路
師大路C,6.143187067,2.373343431,36.30%,和平東路,羅斯福路
士東路,162.4793103,1.512857088,14.00%,忠誠路2段,東山路
士東路200巷,20.43610785,1.280101248,16.00%,士東路,德行東路
士東路A,103.9728682,1.259994116,18.00%,中山北路六段,忠誠路2段
士林市場西側機車,65.09363296,1,4.70%,大南路,基河路
士商路A,72.03065134,1.423440149,12.00%,中正路,大南路
士商路B,94.67403315,1.97653046,16.10%,承德路五段,中正路
士商路C大車,22.90502793,1.248644591,8.70%,承德路五段,中正路
市民大道3段南側-機車,243.5439252,0.808996153,14.90%,八德路,金山北路
市民大道七段A,27.22978723,2.675819033,15.50%,向陽路,中坡北路
市民大道五段,5.710808179,1.982460474,31.60%,東興路,東寧路
市民大道一段,419.4654655,1,2.50%,承德路,中山北路
市民大道一段北側,248,1,11.60%,延平北路,承德路
雙城街,11.8858075,1.749080721,26.40%,農安街,雙城公園
雙和街,46.08,2.298129149,20.70%,中華路2段364巷17弄,中華路2段416巷66弄
雙全街,52.92592593,0.993785311,5.10%,中和街,大業路
雙溪公園平面,8.474074074,1,8.40%,福林路254巷,雙溪公園對面
雙溪街,410.7906977,0.999767928,3.00%,文林路,至誠路1段
雙園街89巷,18.48275862,1.587880008,12.30%,雙園街,環河南路175巷
水快橋下,277.2781609,0.377553227,1.60%,汀州路51號,137號
水源路A,168.0896552,2.005610587,10.80%,中華路二段,富民街155巷
水源路B,5.469150175,2.093081761,26.60%,151-169號,
思源街,33.9862069,1.884045776,18.90%,汀州路,永福橋
四平街,38.0137931,1.783602662,18.90%,建國北路,吉林路
四平街,38.0137931,1.783602662,18.90%,伊通街,吉林路
四維路,32.23914894,2.111674921,31.80%,平面停車場,
松德路,117.6785137,2.017115584,20.60%,松山路,松德路底
松德路168巷,41.13448276,2.266295233,26.10%,松德路,忠孝東路5段236巷
松德路180巷,8.617241379,2.30132647,35.80%,松德路168巷,松德路200巷
松高路20巷,668,1,12.60%,松高路,松壽路
松河街,126.3717949,1.09095192,5.30%,園區街口,興中路
松河街,126.3717949,1.09095192,5.30%,塔悠路,興中路
松江路,155.7103448,2.198363893,7.20%,濱江街,民族東路
松江路188巷(中吉公園周邊),2.983908046,1.936698271,41.20%,,
松江路25巷,38.51230769,2.046007447,29.60%,伊通街,松江路
松江路357巷,15.9954023,1.070845717,21.90%,民權東路2段135巷,松江路
松江路469巷,3.112643678,1.73518022,33.10%,松江路,民權東路2段135巷
松江路84巷,30.12873563,1.77551744,23.50%,松江路90巷6弄,松江路
松江路85巷,17.34137931,1.856328905,31.60%,伊通（街）公園,松江路
松江路90巷,34.98390805,1.566581144,21.90%,松江路,吉林路
松江路A,28.2660903,1.494640087,16.90%,民權東路,民族東路
松江路B,1.984827586,1.107817869,16.30%,民權東路,民生東路
松江路C,8.466292135,0.843467589,7.70%,南京東路,民生東路
松江路D,2.694954128,0.92648185,19.80%,松江路84巷,長安東路
松江路E,1.115384615,0.575063613,6.00%,長安東路2段,渭水路
松隆路A,95.9328594,1.92496013,14.40%,中坡北路,永吉路
松隆路B,31.41282895,1.945323419,21.00%,永吉路,基隆路一段
松隆路C,3.265306122,2.436708861,30.10%,永吉路127巷,松隆路
松平路50巷,13.23793103,2.428305558,31.20%,松平路,莊敬路325巷45弄
松勤街140巷,6.675925926,2.345699831,24.10%,信義路5段150巷,松勤街
松仁路,62.81168831,1.586895285,14.70%,信義路5段,莊敬路
松山路,55.10678808,1.7267563,19.20%,松隆路,忠孝東路五段
松山路B,2.375,1.585205479,37.80%,忠孝東路五段,松德路
松壽廣場北側巷,113.6059908,1,13.80%,新光三越,松智路
松壽廣場南側停放區,88.75,1,11.40%,新光三越,松智路
松信路,104.7246964,1.862035089,20.00%,八德路四段  ,忠孝東路五段
松勇路,43.94942529,2.471619366,19.10%,松高路,信義路五段
松勇路53巷,17.42988506,2.480018311,27.50%,信義路五段91巷15弄,松勇路
松智路32巷,16.81609195,2.125,20.50%,松平路50巷,松智路
松智路32巷8弄,28.3862069,2.100364133,18.70%,松智路32巷,莊敬路325巷45弄
塔城街,29.82482599,1.48420495,18.40%,鄭州路,南京西路
塔悠路,210.1845426,2.304973254,8.10%,撫遠街403巷,健康路
太原路,55.76102646,1.415698998,19.90%,民生西路,南京西路
太原路A,36.02109375,1.819936212,21.30%,民生西路,南京西路
泰安街,7.764705882,3.624413146,45.00%,濟南路2段,杭州南路1段71巷
潭美街A,609.5,2.411824773,4.80%,堤頂大道,安美街
潭美街B,27.42857143,3.015730337,14.60%,南京東路6段,潭美街
桃源街（累進計時）,48.03452244,1.662110453,28.00%,寶慶路,延平南路129巷
天津街A,35.54292624,1.840510447,19.20%,南京東路,長安東路
天津街B,45.0575,2.341678312,34.30%,市民大道,忠孝東路
天津街C,24.90344828,2.030544222,25.10%,長安東路,市民大道
天母北路,47.76515152,1.493926591,16.30%,石牌路2段,天母西路
天母東路,99.39888889,1.515838248,17.60%,中山北路六段,東山路
天母東路,99.39888889,1.515838248,17.60%,中山北路六段,東山路
天母西路,18.89041096,1.311069594,22.60%,石牌路2段,中山北路6段
天母西路130巷,21.79245283,1.797863089,19.90%,石牌路,振興街
天母西路38巷,24.80566281,1.273848742,26.90%,天母西路,中山北路六段441巷
天水路,30.68086817,1.813878429,21.60%,延平北路,重慶北路
天祥路,30.52733119,1.855496745,20.90%,錦西街,撫順街
天玉街,132.0422535,1.793159316,11.80%,中山北路7段181巷,天母北路
天玉街38巷,37.04041721,1.553856332,26.90%,天玉街,天玉街38巷18弄
汀州路二段Y00,27.52238806,1.157482945,15.00%,泉州街,重慶南路二段
汀州路二段Z00,7.176573427,1.521955177,22.90%,重慶南路二段,同安街
汀州路三段,5.075039494,1.375722543,22.80%,辛亥路,基隆路
汀州路三段104巷,12.31724138,2.109963346,27.30%,汀州路三段,汀州路三段200巷
汀州路四段,150.7885057,1.971370365,13.80%,溪州街,基隆路
汀州路四段23巷,3.14987715,2.358444714,37.90%,汀州路四段,羅斯福路
汀州路一段A,36.34996163,1.496835805,17.30%,三元街,泉州街
汀州路一段B,36.89866157,1.851632471,16.80%,中華路,莒光路
汀洲路二段,4.354453627,2.045023412,44.90%,同安街,師大路
通河東街1段,218.1666667,1,4.50%,中正街,通河街179巷
通河東街2段,225.3333333,1,4.50%,承德路5段,中正路
通河西街1段,142.0034522,0.752961825,3.30%,中正路,中山高速公路橋下
通河西街1段,142.0034522,0.752961825,3.30%,中正路,中山高速公路橋下
通河西街2段,372.5206897,0.794215067,2.50%,延平北路6段,中正路
通河西街2段,372.5206897,0.794215067,2.50%,延平北路6段,中正路
通河西街一段堤外平面停車場,39.8040201,0.616314423,4.40%,,
通化街,13.037751,2.282575217,28.80%,信義路4段,樂利路
同德路,40.78014184,1.341490545,18.40%,玉成街,東新街80巷
銅山街,2.941176471,2.890243902,36.50%,杭州南路1段,臨沂街
萬大路,179.2781609,1.466667721,14.90%,莒光路,華中橋
萬大路277巷33弄,20.52,1.941588785,10.10%,中華路2段416巷,萬大路277巷
萬大路344巷,60.48735632,2.432222222,19.80%,萬大路,東園街
萬大路423巷,11.71299094,1.394304367,12.30%,萬大路,青年路
萬大平面廣場,162.0321839,2.423805206,16.10%,,
萬芳八號公園,120.22,1,2.30%,,
萬華火車站前廣場,47.07068366,1.788885268,22.00%,康定路上,
萬華火車站週邊,56.58505747,1.711208504,18.60%,西園路一段,康定路
萬美街1段,84.59541985,1.879093199,7.60%,萬寧街,和平東路4段
萬青街,1.200980392,1.853875476,33.10%,青年路68巷,萬大路423巷
萬慶平面廣場,27.09290954,2.078323301,16.20%,萬慶街48號對面廣場,
萬全街,10,1.3,10.80%,寧夏路,承德路2段
渭水路,13.32528736,1.747767294,23.00%,松江路,八德路
渭水路3巷,33.74022989,2.282448807,22.60%,渭水路,松江路25巷
文昌街,8.834196891,1,7.60%,敦化南路2段,基隆路2段
文昌路,27.37438424,1.565683882,26.70%,文昌橋,中正路
文德路,7.96875,1.596982759,24.20%,江南街,成功路3段
文德路101巷,2.991869919,2.003858875,36.60%,文德路,內湖路2段
文湖街,106.5119048,2.023144997,20.80%,內湖路一段,環山路一段
文化三路,25.29166667,1,8.50%,杏林一 路,中央北路2段
文林北路,91.70694319,0.376568262,2.20%,石牌橋,承德路6段
文林路,20.59933222,0.300822973,1.70%,石牌橋,士林橋
文林路A含機車,212.5352304,1,9.30%,小北街,基河路
文林路B,56.43095238,1.626321595,15.60%,士林橋,小北街
臥龍街,80.62392241,2.502956401,27.30%,和平東路3段406巷,和平東路3段531巷
臥龍街,80.62392241,2.502956401,27.30%,基隆路,富陽街
臥龍街,80.62392241,2.502956401,37.50%,和平東路3段406巷,和平東路3段531巷
臥龍街,80.62392241,2.502956401,37.50%,基隆路,富陽街
臥龍街272巷,17,2.160287081,20.50%,富陽街,臥龍街
吳興街,16.716916,2.498868961,26.60%,松仁路,吳興街600巷
吳興街220巷,61.58356164,1.928301998,10.40%,吳興街284巷,信安街103巷
吳興街600巷平面,27.00232019,3.089988044,26.40%,,
五常公園周邊,52.13793103,2.408471786,17.70%,五常公園東側,五常公園南側
五常街,94.89203085,1.832618376,20.30%,建國北路三段,民權東路三段39巷
五常街53巷,26.36781609,1.668759004,17.70%,五常街,民族東路
五分街,3.523809524,1.882352941,40.50%,康寧路3段,東湖路160巷
五原路,8.058252427,1.052142643,22.00%,太原路,承德路
武昌街一段A（累進計時）,8.646298472,1.195857951,32.00%,延平南路,重慶南路
武昌街一段B（含機車）,224.4369501,1,8.30%,懷寧街,博愛路
武昌街一段C（含機車）,216.5733042,1,8.00%,博愛路,中華路一段
西藏路125巷,74.04984177,2.268086241,13.20%,西藏路,青年路
西藏路199巷,82.24137931,2.291037492,13.90%,西藏路,民和街
西藏路A,133.2751678,1.151279515,10.00%,環河南路,艋舺大道
西藏路B,91.99885057,1.563069909,14.80%,萬大路,寶興街
西藏路C,100.0405933,1.518823401,13.60%,汀州路,萬大路
西昌街,57.05592105,1.799188332,17.00%,內江街,桂林路
西寧北路Y00,92.40217391,1.610642245,18.30%,民生西路,鄭州路
西寧北路Z00,34.60295567,1.406135251,11.60%,鄭州路,忠孝西路
西寧南路A,217.229736,1.131926424,13.00%,忠孝西路,成都路
西寧南路B,66.46350932,2.289729557,18.90%,內江街,桂林路
西園路二段,43.28045977,1.742022433,20.00%,莒光路,寶興街
西園路二段(仁濟公園周邊),5.013986014,1.53357438,17.30%,,
西園路一段,54.98133333,1.703605759,18.50%,和平西路三段,西園路一段282巷
西園路一段,54.98133333,1.703605759,18.50%,內江街,和平西路
仙岩路,89.6,1.668991572,16.00%,景華街,興隆路2段154巷
仙岩路,89.6,1.668991572,16.00%,興隆路2段154巷,仙岩路58巷口
